symptom,probable_fault
car pulls to one side,wheel alignment issue
engine misfires,faulty spark plug
squealing sound while braking,worn brake pads
car won't start,dead battery
check engine light on,oxygen sensor failure
rough idling,dirty air filter
grinding noise when shifting gears,worn clutch
engine overheating,coolant leak
vibration at high speeds,unbalanced tires
burning smell,oil leak
engine cranks but doesn’t start,fuel pump failure
car shakes when braking,warped brake rotors
rattling noise under the car,loose exhaust system
dim headlights,alternator issue
engine stalls while driving,clogged fuel filter
clicking noise when turning,bad cv joint
hard steering,low power steering fluid
car uses too much fuel,faulty fuel injector
white smoke from exhaust,blown head gasket
car bounces excessively,worn shock absorbers
